Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000134,North West Leicestershire,E02005397,NorthWestLeicestershire001,161000,720,790
E07000134,North West Leicestershire,E02005398,NorthWestLeicestershire002,160000,700,770
E07000134,North West Leicestershire,E02005399,NorthWestLeicestershire003,167000,840,790
E07000134,North West Leicestershire,E02005400,NorthWestLeicestershire004,118500,0,650
E07000134,North West Leicestershire,E02005401,NorthWestLeicestershire005,168000,860,800
E07000134,North West Leicestershire,E02005402,NorthWestLeicestershire006,165000,800,790
E07000134,North West Leicestershire,E02005403,NorthWestLeicestershire007,121000,0,640
E07000134,North West Leicestershire,E02005404,NorthWestLeicestershire008,135950,219,710
E07000134,North West Leicestershire,E02005405,NorthWestLeicestershire009,150000,500,570
E07000134,North West Leicestershire,E02005406,NorthWestLeicestershire010,93000,0,660
E07000134,North West Leicestershire,E02005407,NorthWestLeicestershire011,124000,0,800
E07000134,North West Leicestershire,E02005408,NorthWestLeicestershire012,140000,300,730
E07000134,North West Leicestershire,E02005409,NorthWestLeicestershire013,135000,200,660
