,Entry level (lower quartile) property price (£),First-time buyer average price (£)
England,"143,500","198,325"
North East,"87,000","110,337"
North West,"101,000","128,252"
Yorkshire and The Humber,"105,000","132,560"
East Midlands,"122,500","148,615"
West Midlands,"123,000","150,447"
East,"175,000","234,752"
London,"315,000","423,249"
South East,"207,500","253,170"
South West,"165,000","199,968"
Wales,"105,000","127,606"
,,
Source: House Price Statistics for Small Areas and UK House Price Index,,
